1girl,1个女性
energy_gun,镭射枪
throwing,投掷
japari_symbol,加帕里符号
lying_on_person,躺在人身上
red_headband,红色头带
forked_eyebrows,分叉的眉毛
hair_twirling,手指卷着头发
sailor_bikini,水手服款比基尼
harpy,有翼人|半人半鸟|鸟人族
cuts,割伤
deep_penetration,捅到子宫
reverse_suspended_congress,腿下握颈肛交
obiage,obiage
leg_hair,腿毛
paint_splatter,溅上了涂料
clothes_grab,扯着衣物
upright_straddle,对坐体位
hiding,躲藏
frilled_swimsuit,花边泳衣
hairpods,头发上成对的像无线蓝牙的发饰
hands_in_opposite_sleeves,双手交叉伸进袖子里
single_kneehigh,单边穿着过膝服饰
pink_neckerchief,粉红色的脖子
tablet_pc,平板电脑
holding_another's_arm,握住另一只手臂
squirrel_tail,松鼠尾巴
gym_shorts,体操短裤
holding_underwear,手持内衣
black_armor,黑色盔甲
seagull,海鸥
plaid_dress,格子呢连衣裙
shovel,铲子
tomoe_(symbol),巴纹
toy,玩具
scar_on_chest,胸部疤痕
earbuds,耳塞
white_vest,白色背心
reverse_bunnysuit,逆兔女郎
darkness,黑暗
irrumatio,深喉
chips_(food),薯条（食物）
asymmetrical_footwear,不对称鞋类
gas_mask,防毒面具
hands_on_another's_shoulders,双手放在别人的肩膀上
prosthetic_arm,假肢
dress_bow,连衣裙上的蝴蝶结
bat_hair_ornament,蝙蝠发饰
body_markings,身体标记
multiple_rings,多个环
yellow_scarf,黄色围巾
happy_halloween,万圣节快乐
stirrup_legwear,马镫袜
leotard_aside,把连衣裤裆部剥到一边
purple_umbrella,紫色雨伞
w_arms,双臂摆出W
partially_unzipped,只拉上部分拉链
hands_on_another's_face,双手放在别人的脸上
egasumi,工霞
bandaged_hand,绷带的手
anus_peek,吸睛的肛门
bone_hair_ornament,骨头状饰品
blue-framed_eyewear,蓝框眼镜
slime_girl,史莱姆娘
spitroast,女性的嘴和下半身被夹攻的体位
magazine_(weapon),弹匣(武器)
holding_box,端着箱子
speaker,发言者
purple_vest,紫色背心
grey_sailor_collar,灰色水手领
sandwich,三明治
treble_clef,高音符号
loose_belt,松散的带子(衣物)
alternate_legwear,腿部穿着变化
viewfinder,相机取景框
suit_jacket,西装外套
megaphone,扩音器
stomach_tattoo,腹部纹身
miniboy,小人儿
orange_bodysuit,橙色紧身衣
arm_around_waist,单手搂腰
shikishi,色纸
layered_bikini,分层比基尼
bamboo_forest,竹林
penis_awe,亮“枪”
feather_boa,羽毛围巾
licking_finger,舔手指
plantar_flexion,足底屈曲
ear_ornament,耳朵装饰
surreal,怪诞的|超现实主义
letterman_jacket,棒球服
holding_lollipop,拿着棒棒糖
humanization,拟人化
tomato,番茄
bleeding,出血
green_neckwear,绿色的领结
grenade,手榴弹
bubble_tea,珍珠奶茶
pancake,薄饼
jacket_around_waist,用夹克束腰
spoken_squiggle,表不满和发牢骚的会话气泡
bunny_print,兔子图案
shirt_tug,扯住衬衫
newspaper,报纸
soda_can,汽水罐
goggles_on_headwear,帽子上别着护目镜
grinding,素股|臀推
humanoid_robot,人形机器人
orange_hairband,橙色发带
magazine_cover,杂志封面
skates,溜冰鞋
pubic_hair_peek,从衣物里露出一部分阴毛
multi-tied_hair,头发绑着多条系带
5koma,五格漫画
fighting,战斗中的
horned_headwear,角状头饰
lion_girl,狮子女孩
bag_charm,背包挂件
ghost_tail,幽灵尾巴
shooting_star,流星
scowl,怒视|嫌弃的眼神|不满的眼神
snowflake_hair_ornament,雪花发饰
finger_on_trigger,准备扣扳机的手势
lily_pad,睡莲
pith_helmet,木髓遮阳帽
arms_around_neck,双手搂着脖子
hair_tie_in_mouth,将系头发的东西叼在嘴里
mochi,麻薯
chest_harness,胸部线束
lifting_person,将人抱起
left-to-right_manga,从左往右读的漫画
traditional_youkai,传统的Youkai
piano,钢琴
open-chest_sweater,胸部开口的毛衣
in_tree,在树上
in_box,在盒子里的|箱内女孩
kanzashi,簪子
crotch_rope,裆部勒着的绳子
ribbed_dress,棱纹连衣裙
food_on_head,头上的食物
beer_can,听装啤酒
hand_on_head,手放在头上
midair,空中
deepthroat,深喉
thumb_ring,拇指指环
uneven_gloves,不平坦的手套
leaf_print,叶子印花
yugake,弽
watson_cross,双腿交叉站姿
vegetable,蔬菜
yellow_rose,黄玫瑰
frying_pan,平底锅
ankle_ribbon,踝带
ceiling,天花板
panda,熊猫
spoken_interrobang,"会话气泡里出现""!?"""
guro,R-18G
thinking,思考
bird_ears,鸟耳
heart_in_mouth,嘴里画着爱心|心形化的舌头
hand_over_own_mouth,手掩着嘴
winged_arms,有翼的手臂
neck_ruff,波浪褶边的领子
caterpillar_tracks,履带
stained_glass,彩色玻璃
extra,衍生角色(形象)
gloom_(expression),消沉(表情)
pokephilia,Pokephilia
chemise,女式无袖宽内衣
christmas_ornaments,圣诞节装饰品
object_namesake,人与物的同名梗
tiger_girl,老虎女孩
bike_shorts_under_skirt,裙子下的自行车短裤
hagoromo,羽衣
bodysuit_under_clothes,紧身衣裤
breastless_clothes,露胸的衣服
heart_in_eye,眼里冒爱心
numbered,编号
sheep_ears,羊耳
button_badge,纽扣徽章
peeing_self,尿到了自己(身体上)衣服上
torn_bodysuit,破损的紧身衣
after_fellatio,口交后
cat_ear_panties,猫耳造型内裤
american_flag_bikini,星条旗比基尼
flip-flops,人字拖
raccoon_girl,浣熊娘
gekkoukan_high_school_uniform,Gekkoukan高中制服
city_lights,城市灯光背景
flats,无背景|平铺的背景
writing,写作
orange_sky,橙色的天空
shared_clothes,共用的衣服
puppet,木偶|手偶
four-leaf_clover,四叶草
vertical-striped_dress,竖条纹连衣裙
coat_on_shoulders,在肩膀上外套
bird_on_head,头上的鸟
debris,碎片|残骸
public_nudity,野外露出
wide_ponytail,宽马尾
sparkle_background,闪着星光的背景
collage,拼贴画
spill,液体从容器中漫出来
pink_scrunchie,粉色发束
covering_eyes,遮住眼睛
rubber_boots,橡胶靴
lotus,莲花
striker_unit,强袭兵装
kote,小手
grey_panties,灰色的内裤
lotion,防晒霜|身体乳
chained,被束缚
white_scrunchie,白色发束
paint,油漆|涂料|颜料
shoulder_carry,肩扛
shoe_dangle,用脚趾吊着鞋
orange_necktie,橙色领带
cupcake,纸杯蛋糕
diffraction_spikes,衍射十字星
holding_axe,握着斧头
remote_control_vibrator,震动遥控器
leopard_print,豹纹
bento,便当
fetal_position,胎儿状的蜷缩
single_leg_pantyhose,单边穿着连裤袜
bar,酒吧
cheese,奶酪
shell_casing,弹药匣
purple_pantyhose,紫色连裤袜
keyhole,锁扣
orange_nails,橙色指甲
paw_shoes,兽爪鞋
layered_clothes,分层的衣服
gaping,敞开的|撑开的(阴部和屁眼)
yunomi,茶碗
yellow_kimono,黄色和服
world_war_ii,第二次世界大战
moonlight,月光
tunic,束腰外衣
rabbit_hood,兔子罩
hip_bones,髋骨
arm_hair,手臂毛
pinching,掐
stuffed_cat,毛绒猫
red_sleeves,红色的袖子
thank_you,感谢绘
sword_of_hisou,绯想之剑
urethra,尿道
hallway,门厅
lace_panties,蕾丝内裤
reindeer_antlers,驯鹿角
holding_scythe,手持镰刀
ear_ribbon,耳塞
candy_cane,棒棒糖
goldfish,金鱼
gem_uniform_(houseki_no_kuni),宝石之国的制服
blue_gemstone,蓝色宝石
wedding,结婚|婚礼
arms_under_breasts,双手托胸
corruption,恶堕|婊子化
quad_tails,四股辫子的发型
breast_curtains,乳帘
abstract,抽象
exercise,做运动
red_belt,红色腰带
medal,勋章
quarter_note,四分之一音符
long_eyelashes,长长的睫毛
furry_with_non-furry,毛茸茸的非毛茸茸
red_rope,红色绳子
padlock,挂锁
jealous,嫉妒的
hand_in_panties,手伸进内裤里
pudding,布丁
fashion,时尚
au_ra,au ra
domino_mask,SM面具
year_of_the_tiger,老虎一年
pirate,海盗
green_scarf,绿色围巾
stethoscope,听诊器
multiple_bows,多只蝴蝶结
earclip,耳塞
brush,刷子
black_ascot,黑色的acot
helmet_removed,摘下头盔|被摘下的头盔
snot,鼻涕
volleyball,排球
on_shoulder,在肩上
holding_dagger,手持匕首
electric_fan,电风扇
kogal,小辣妹
year_of_the_ox,牛一年
dice,骰子
latin_cross,拉丁式十字架
light_green_hair,浅绿色头发
pant_suit,女性穿着西服
bangs_pinned_back,掀起的刘海
ladder,梯子
crescent_earrings,月牙耳环
skirt_tug,扯住裙摆|按住裙摆
happy_valentine,情人节快乐
seamed_legwear,有接缝的裤袜
huge_nipples,大乳头|长乳头
leg_lock,用双腿夹住
aiming_at_viewer,瞄准了读者(的视角)
flaming_eye,焰目
hand_on_another's_chest,手放在对方的胸前
paddle,桨
over-rim_eyewear,下半无框眼镜
torn_sleeves,破损的袖子
kyuubi,九尾|九尾狐
soldier,士兵
burn_scar,烧伤疤痕
pink_apron,粉色围裙
st._gloriana's_school_uniform,圣葛罗莉安娜女学园校服
mobile_suit,移动服
bullpup,牛犊式枪械
orange_footwear,橙色鞋类
zombie_pose,僵尸姿势
single_detached_sleeve,单边没脱掉的袖子
sunburst,日出时突现的光照
trash_can,垃圾桶
coattails,燕尾
duffel_bag,行李包
shower_head,淋浴喷头
ainu_clothes,阿伊努人的服饰
feather_trim,羽毛装饰
green_thighhighs,绿色的大腿
orange_scrunchie,橙色发束
vibrator_under_clothes,塞着跳蛋且穿着衣服
turtle_shell,鳖甲
subtitled,带字幕的
green_hairband,绿色发带
wide_spread_legs,丰盈的大腿
finger_to_cheek,指脸颊
purple_choker,紫色项圈
wet_swimsuit,湿泳衣
negligee,睡袍
ramen,拉面
pillarboxed,柱状画布背景
soccer_ball,足球
purple_wings,紫色翅膀
official_alternate_hairstyle,官方替代发型
shark_girl,鲨鱼女孩
anime_coloring,动画上色
alternate_headwear,头饰变化
two-tone_skirt,两色裙子
mole_on_thigh,大腿上有痣
come_hither,诱受
bra_peek,微微露出胸罩
profanity,亵渎
bass_guitar,贝斯
pastry,油酥糕点
heart_pillow,心形枕头
pig,猪
seashell,海贝
horseshoe_ornament,马蹄形装饰
cross_hair_ornament,十字发饰
ears_down,下垂的耳朵
fur-trimmed_hood,毛皮镶边风帽
shark,鲨鱼
crossed_ankles,交叉脚踝
strap_between_breasts,勒在乳房之间的带子
spade_(shape),黑桃
owl,猫头鹰
brown_theme,棕色主题
spandex,弹性纤维(衣物面料)
wrestling_outfit,摔角服
sleepwear,睡衣
eyepatch_bikini,眼罩比基尼
untied_panties,无缝的内裤
clitoral_stimulation,玩弄阴蒂
mismatched_bikini,双色比基尼
doorway,门口
nipple_rings,乳环
single_sidelock,单场
rose_print,玫瑰印花
suspension,悬吊绑缚
star_in_eye,星星眼
coffee_cup,咖啡杯
mitsudomoe_(shape),巴纹
looking_at_penis,看着阴茎
two-footed_footjob,用双脚腿交
sigh,画出叹气的标记
blade,剑
hand_on_another's_hip,交给别人的臀部
skirt_around_one_leg,一条腿上挂着短裙
g-string,超细款丁字裤
alternate_universe,替代宇宙
locker_room,更衣室
shibari_over_clothes,着衣绑缚
clothes_in_mouth,嘴里的衣服
orange_choker,橙色项圈
snowflake_print,雪花印花
qing_guanmao,清代官帽
bandaid_on_pussy,阴部贴着创可贴
red_one-piece_swimsuit,红色的一件泳衣
lifted_by_another,被对方掀起衣物
naoetsu_high_school_uniform,私立直江津高校制服
lights,灯
embers,余烬
shirt_removed,脱下衬衫
cold,寒冷的
breast_tattoo,胸部纹身
arm_held_back,手臂往后拉
mismatched_footwear,双色鞋子
holding_panties,拿着内裤
calendar_(medium),日历
flame-tipped_tail,火焰尾巴
raincoat,雨衣
weibo_username,微博用户名
sweets,糖果
sun_symbol,太阳符号
shaved_ice,刨冰
doll_hug,抱着玩偶
talons,鸟爪
zero_suit,Zero装束
mallet,木槌
sheep_girl,羊女孩
magazine_(object),杂志（对象）
chef_hat,厨师帽
cigar,雪茄
diagonal_bangs,斜刘海
kitauji_high_school_uniform,Kitauji高中制服
walk-in,进错房间|意外进来看到了不该看的
wa_maid,和风女仆
yellow_scrunchie,黄色发束
head-mounted_display,头部安装显示
brown_bag,棕色袋子
holding_person,抱着人
giving,递|赠送
black_cardigan,黑色开口衬衫
orange_gloves,橙色的手套
white_theme,白色主题
tuxedo,男式晚间小礼服
frilled_kimono,花边和服
ooarai_military_uniform,大洗联队军装
green_coat,绿色外套
flat_ass,贫瘠的屁股
sitting_on_face,颜面骑乘|阴部贴着脸
cum_on_boy,射在男性身上
skull_and_crossbones,头骨和交叉的骨头
hand_grab,手抓取
orgy,乱交
spacesuit,宇航服
horizontal_pupils,一字型瞳孔|蛙眼
look-alike,撞脸
yellow_fur,黄色的皮毛
pink_bodysuit,粉色紧身衣
bloom,盛开
arm_around_neck,单手搂着脖子
striped_jacket,条纹外套
ribbed_shirt,棱纹衬衫
typo,印刷错误
grey_coat,灰色外套
undersized_clothes,尺寸过小的衣服
blue_belt,蓝色饰带
multiple_horns,多个角
text-only_page,仅文本页面
uneven_sleeves,袖子不均匀
chest_sarashi,胸部Sarashi
checkered_scarf,格子围巾
rice_bowl,碗
see-through_shirt,透明衬衫
frilled_hair_tubes,褶皱的发型
mouth_drool,嘴角画着口水滴形状的缺口
o3o,o3o
hairy,毛茸茸
red_gemstone,红色宝石
scar_on_arm,疤痕在手臂上
suspender_shorts,吊带短裤
bit_gag,勒住嘴
holding_flag,手持旗帜
millipen_(medium),毫厘笔作画(中号)
toothbrush,牙刷
puckered_lips,撅起的嘴唇
prone_bone,俯卧后入
princess,公主
swirl_lollipop,漩涡棒棒糖
scar_on_nose,鼻子上的疤痕
updo,头发往上蜷的发型
nervous_smile,不安地微笑
d-pad,方向键
hand_on_another's_back,交给他人的背
room,房间
rubbing_eyes,揉眼睛
convenient_arm,遮住关键部位的手臂
bomber_jacket,飞行员夹克
club_(weapon),俱乐部（武器）
white_feathers,白羽毛
santa_bikini,圣诞节比基尼
green_sweater,绿色的毛衣
cum_on_stomach,射在嘴里
nape,脖颈
yellow_legwear,黄色裤袜
patterned_background,图案背景
carrot_necklace,胡萝卜项链
thigh_sex,素股|腿夹
orc,半兽人
beach_towel,沙滩巾
dog_boy,狗男孩
white_robe,白色长袍
open_shorts,敞开的短裤
hand_on_another's_arm,交给别人的手臂
plastic_bag,塑料袋
tam_o'_shanter,苏格兰平顶帽
screaming,尖叫|大声喊
spotlight,聚光灯
power_symbol,电源符号
creator_connection,同个原作者的角色们的同人
tombstone,墓碑
flower_pot,花盆
orange_theme,橙色
jackal_ears,jack耳耳
super_saiyan,超级赛亚人
hair_spread_out,散开的头发
asphyxiation,窒息
shouji,障子
cameo,精彩片段
dusk,黄昏
path,路径
on_lap,在膝盖上
multiple_belts,多个皮带
brown_ribbon,褐色丝带
hadanugi_dousa,光膀子
tied_up_(nonsexual),捆绑（非性）
still_life,静物
flask,烧瓶
tally,计数|画正字
small_penis,小阴茎
carpet,地毯
disembodied_head,分离的头
evening_gown,晚会礼服
phimosis,包茎
red_sclera,红色巩膜
diagonal-striped_bow,对角线条纹弓
female_pov,女性视角
holding_smoking_pipe,握着吸烟管
sunrise,日出
bow_bikini,带蝴蝶结的比基尼
red_sash,红色束腰
smiley_face,笑脸
bird_girl,鸟儿女孩
faux_traditional_media,传统手绘风格
mohawk,莫霍克发型
side_cutout,侧边开口的服饰
diving_mask,潜水面罩
triangle,三角形
roman_numeral,罗马数字
curry,咖喱
hill,小山坡
smell,有气味的
red_pantyhose,红色连裤袜
cover_image,封面图片
multicolored_legwear,多色款腿部服饰
drumsticks,鼓槌
russian_text,俄语
steam_censor,蒸汽马赛克|雾气马赛克
retrofit_(azur_lane),改造(碧蓝航线)
heart_tattoo,心形纹身
shimakaze_(kancolle)_(cosplay),Shimakaze（Kancolle）（角色扮演）
diadem,冠饰
black_headband,黑色头巾
cyclops,独眼巨人
hexagram,六角星
ufo,不明飞行物
number_tattoo,编号纹身
hamster,仓鼠
tree_shade,树荫
mouse_(computer),鼠标
red_pupils,红色瞳孔
broken_glass,碎玻璃
talisman,画符
fourth_wall,虚实穿插|连接到现实的感觉|次元壁
monkey_tail,猴尾
futa_with_male,扶她和男性
egyptian_clothes,埃及风格服饰
pink-framed_eyewear,粉色镜框眼镜
shuuchiin_academy_school_uniform,Shuuchiin Academy学校制服
covered_abs,覆盖的腹肌
short_sword,短剑
linea_alba,血统阿尔巴
police_hat,警察帽子
tri_tails,有三股辫子
shared_scarf,共用一条围巾
animal_penis,动物阴茎
purple_sleeves,紫色的袖子
aqua_bikini,Aqua比基尼
condom_on_penis,戴避孕套
breast_bondage,乳房绑缚
sink,水槽
green_choker,绿色项圈
blue_lips,蓝色的嘴唇
anal_fingering,手指刺激肛门
bad_hands,手的画法错误
tennis_uniform,网球衫
eraser,橡皮擦
spatula,铲(厨具)
fur_coat,毛皮大衣
desert,沙漠
ice_cube,冰块
torch,火炬
quill,羽毛笔
hikarizaka_private_high_school_uniform,私立光坂高等学校校服
beak,喙
string_of_flags,彩旗串
satchel,背包
black_scrunchie,黑色发束
scratches,划痕|皮肤上的浅伤
ankle_cuffs,脚踝袖口
bandaid_on_cheek,脸颊上的bandaid
striped_socks,条纹袜子
melting,融化
driving,驾驶
studded_belt,镶钉皮带
large_tail,大尾巴
d-pad_hair_ornament,方向键发饰
cliff,悬崖
multiple_earrings,多个耳环
jellyfish,水母
feather-trimmed_sleeves,羽毛装饰的袖子
finger_in_another's_mouth,口内指交
holding_arrow,拉着弓
octarian,章鱼士兵
strangling,绞首
ritual_baton,笏板
microdress,小尺寸连衣裙
big_belly,大肚子
phone_screen,手机屏幕
grey_sky,灰色的天空
praying,祈祷
prayer_beads,念珠
hand_on_hilt,手搁在刀柄上
ribbed_legwear,肋腿衣
magical_musket,魔能枪
torn_cape,撕裂的斗篷
oni_mask,鬼面
tribadism,磨豆腐
samurai,武士
keyboard_(instrument),键盘乐器
crossed_bandaids,交叉的创可贴
cyberpunk,赛博朋克
spider_web_print,蛛网印花
shading_eyes,遮阳手势
mechanical_parts,露出机损
insignia,证章
red_umbrella,红色的伞
creature_and_personification,拟人化(含对比)
open_skirt,敞开的裙子
feather_hair,羽毛头发
rectangular_eyewear,矩形眼镜
calendar_(object),图中有日历
shoulder_spikes,肩钉
dynamax_band,Dynamax带
sleeping_upright,(不躺着)睡觉|直立睡觉
sitting_on_desk,坐在课桌上
sideless_outfit,侧面没有布料的服饰
matching_outfit,情侣装
milk_bottle,奶瓶
cave,洞穴
crotchless_panties,开档内裤
restaurant,餐厅
fine_art_parody,对某美术品的模仿|模仿名画
dirty_face,弄脏的脸
starter_pokemon_trio,三只宝可梦御三家
horseback_riding,骑马
drawing_tablet,手绘板
anzio_school_uniform,安齐奥校服
dessert,甜点
no_eyewear,去掉了(原设有的)眼镜
caught,被抓现行
cervix,子宫口
purple_pants,紫色长裤
trick_or_treat,不给糖就捣蛋
kabedon,卡贝登
racket,球拍
tail_through_clothes,穿衣服的尾巴
curtain_grab,窗帘抓取
holding_sheath,握着刀鞘
broken_horn,断角
flower_(symbol),花(符号)
cooperative_fellatio,合作伙伴
hands_on_own_head,双手放在自己的头上
st._gloriana's_military_uniform,圣葛罗莉安娜军装
sweater_around_waist,束在腰上的毛衣
butterfly_print,蝴蝶印花
green_cape,绿色斗篷
clitoral_hood,阴蒂包皮
tankini,坦基尼
when_you_see_it,把梗元素藏在图里
liquid,液体
ear_tag,耳标
enpera,(围巾束成的)乌贼鳍发型
carrying_over_shoulder,肩扛
town,小镇
festival,节日|祭典
fur-trimmed_legwear,皮草修身长裤
spoken_anger_vein,表发怒的会话气泡
naked_coat,裸体且披着大衣
clothed_pokemon,有衣着的口袋妖怪
abstract_background,抽象背景
smelling,闻
plum_blossoms,梅花
standing_on_liquid,站在水上或液体上
strapless_bra,无肩带胸罩
light_bulb,灯泡
holding_pom_poms,持有绒球
dreadlocks,辫子
tailcoat,燕尾服
lace-trimmed_dress,蕾丝边连衣裙
rocket_launcher,火箭筒
constellation,星座
open_collar,解开的衣领
white_nails,白色指甲
bare_hips,裸臀
black_fur,黑色皮毛
wire,电线|数据线
video_camera,录影机
plaid_bikini,格子呢比基尼
black_camisole,黑色吊带背心
attack,攻击
jet,喷气式飞机
black_tail,黑色尾巴
pulling,拉
black_bag,黑色袋子
blue_cardigan,蓝色开襟衫
hammer_and_sickle,锤子和镰刀
surfboard,冲浪板
mini-hakkero,迷你八卦炉
chain_necklace,项链
spilling,从容器中倒出液体的动作
trumpet,小洋号
single_vertical_stripe,露出单边服饰上的垂直条纹
black_rose,黑玫瑰
mega_pokemon,Mega形态宝可梦
patterned_clothing,图案化的衣服
arabian_clothes,阿拉伯服饰
budget_sarashi,绷带裹胸
pulled_by_another,被另一个人拉(或拉衣物)
graffiti,涂鸦
sweatband,吸汗带
shark_hair_ornament,鲨鱼发饰
arch,拱
product_placement,植入广告
white_cloak,白色斗篷
black_apron,黑色围裙
church,教堂
vial,试管
striped_pants,条纹裤
white_headband,白色头带
gown,女裙|女长服|女礼服
whistle_around_neck,脖子上挂着口哨
colored_tongue,彩色舌头
impossible_leotard,人体彩绘般的连身衣
spread_wings,散布翅膀
cat_ear_headphones,猫耳式耳机
blue_ascot,蓝色的Ascot
chinese_knot,中国结
two-tone_bikini,两色调比基尼
evolutionary_line,进化线
tie_clip,领带夹
hooded_cape,连帽斗篷
purple_cape,紫色斗篷
tegaki,来自tegaki博客
hair_horns,头发角
french_fries,炸薯条
strappy_heels,带束带的高跟鞋
twitching_penis,抽搐的阴茎
briefs,男式内裤
fleeing,在逃跑的
action,行动
manga_(object),图中有漫画
white_cat,白猫
green_lips,绿色的嘴唇
moss,苔藓
egg_(food),鸡蛋（食物）
bolt_action,栓式枪机
veranda,外廊|缘侧
belly_chain,脐链
nail,钉子|指甲
nib_pen_(medium),蘸水笔画风
thigh_ribbon,大腿系着缎带
holding_sign,手持招牌
glowstick,荧光棒|打call棒
covering_nipples,挡住乳头
single_hair_intake,单侧进气口发型
denim_skirt,牛仔裙
yoga_pants,瑜珈裤
tail_bell,尾巴系着铃铛
cat_hat,猫耳帽子
spiked_armlet,尖刺的臂章
scissor_blade,片太刀铗
clothes_down,褪下衣物
turban,穆斯林头巾
naked_sheet,裸体且裹着被子
gold_chain,金链子
stage_lights,舞台灯光
spread_fingers,张开手指
white_cardigan,白色开襟衫
monocle_hair_ornament,单片发饰
mop,拖把
shako_cap,乐队礼帽
kappougi,(烹饪时穿的)罩衫
holding_condom,拿着避孕套
instant_loss,即时损失
clothes_hanger,衣架
bowl_hat,碗状帽子
aqua_skirt,水蓝色短裙
chainsaw,链锯
dreaming,做梦
ankle_socks,踝袜
hands_on_headwear,双手碰到头上的饰物
setsubun,节分习俗
pool_ladder,泳池扶梯
finger_in_own_mouth,手指
vocaloid_append,V家歌手的头戴设备
cat_print,猫元素印花
whale,鲸鱼
head_grab,抓住
potato_chips,薯片
mechanical_legs,机械义足
three-dimensional_maneuver_gear,立体机动装置
oversized_animal,巨大生物
holding_doll,抱着玩偶
dyed_bangs,染刘海
laurel_crown,桂冠
purple_scarf,紫色围巾
spanked,被拍打过的屁股
gusset,(缝在衣服上以放大、加固等的)衬料
penis_grab,抓着阴茎
team_rocket,火箭队
false_smile,虚假的微笑
purple_shorts,紫色短裤
black_lips,黑色的嘴唇
dust,灰尘
korean_clothes,韩服
pill,药丸
tusks,象牙
crotch_rub,摩擦裆部
wind_chime,风铃
shuriken,手里剑
teenage,青少年|青少年化
sketchbook,素描本
ribbon-trimmed_skirt,缎带饰边短裙
winged_hat,有翼的帽子
hand_on_another's_thigh,交给他人的大腿
see-through_legwear,透明的腿衣
nengajou,年贺状
grey_bow,灰色蝴蝶结
vertical-striped_skirt,竖条纹裙子
multicolored_wings,有多种颜色的翅膀
turtle,龟
reverse_upright_straddle,背面座体位
ankle_lace-up,脚踝系带
sweet_potato,甘薯
bad_proportions,人体比例不协调
fur_scarf,皮草围巾
impossible_bodysuit,人体彩绘般的紧身衣
hands_on_lap,双手放在两腿之间
beamed_sixteenth_notes,十六分音符
tongue_piercing,打舌钉
long_pointy_ears,尖尖的长耳朵
car_interior,汽车内饰
nose_bubble,鼻涕泡
in_bucket,(角色)在桶里
wreath,花环
boxing_gloves,拳套
scepter,笏
mechanical_horns,机械角
inflatable_toy,充气玩具
taiyaki,鲷鱼烧
wooden_bucket,木桶
energy_wings,能量翅膀
afro,鸟窝头|爆炸头
symmetry,左右对称
wrestling,摔角(运动)
baseball,棒球
sleep_molestation,睡奸
clothed_masturbation,穿着衣服自慰
warship,军舰
two-tone_jacket,两色外套
grimace,(因痛苦、厌恶等)做怪相
comb,梳子
feather_earrings,羽毛耳环
prehensile_hair,活体头发|可念动的头发
crepe,可丽饼
clothed_animal,有衣着的动物
neck_tattoo,脖子纹身
blur_censor,模糊打码
flower_earrings,花耳环
two-tone_swimsuit,两色调泳衣
glowing_sword,发光的剑
school_hat,通学帽
boxers,拳击手
shared_umbrella,相合伞
bandaged_head,绑着绷带的头
swim_briefs,泳裤
plunging_neckline,深领
black_feathers,黑色羽毛
pink_sleeves,粉色袖子
skewer,签子
child_on_child,孩子们
mod3_(girls'_frontline),mod3（女孩的前线）
cube,立方体
ribbon-trimmed_clothes,丝带修剪的衣服
tripping,被绊倒
transparent_umbrella,透明雨伞
picture_(object),图中有照片或其他图片
failure,失败
spinning,有中心的旋转
wife_and_wife,百合夫妇
median_furrow,中间犁沟
union_jack,米字旗
hair_through_headwear,头发的头发
drawer,抽屉
between_thighs,(强调)大腿之间
cheek_pinching,捏脸颊
borrowed_garments,男友的衣服
high_contrast,高对比度
have_to_pee,憋尿
birthday_cake,生日蛋糕
tanuki,狸
flute,笛
squid,乌贼|鱿鱼
shark_hood,鲨鱼罩
tokkuri,清酒瓶
barrel,桶子
lion,狮子
turnaround,前后身对比图
sports_bikini,运动比基尼
pillow_grab,抓着枕头
on_table,在桌子上
white_male_underwear,白色男性内衣
purple_coat,紫色外套
soap,肥皂
bunny_pose,兔耳pose
harvin,矮人族
juice_box,盒装饮料
two-tone_bowtie,两色调弓
cheek_poking,戳脸颊
red_sky,红色的天空
counter,柜台
clover_hair_ornament,三叶草发饰
corpse,尸体
stray_pubic_hair,沾着阴毛|掉落的阴毛
orange_kimono,橙色和服
spider_girl,蜘蛛娘
toast,烤吐司
blue_serafuku,蓝色水手服
spear_the_gungnir,神枪朗基努斯
looking_at_object,看对象
hands_on_another's_head,动手
head_bump,头上起包
playing_with_own_hair,玩自己的头发
column_lineup,立绘并列
face_to_breasts,面对乳房
caustics,焦散
two-tone_gloves,两色调手套
akeome,新年伊始
gate,门
covered_face,蒙脸
mating_press,授精体位
black_hakama,黑色的袴
chaps,皮套裤
cocktail_glass,鸡尾酒杯
polka_dot_bra,圆斑胸罩
stone,石头
pocky_day,百奇日
back_tattoo,背部纹身
safety_pin,曲别针
hanfu,汉服
heart_hands_duo,两个人一起用手比心
balcony,阳台
holding_cat,抱着猫
vending_machine,自动售货机
slime_(creature),史莱姆（生物）
chart,图表
alarm_clock,闹钟
bite_mark,咬痕
naked_cape,裸体且披着斗篷
energy_ball,能量球
volleyball_uniform,排球服
blood_stain,血迹
tissue,纸巾|手帕
daisy,雏菊
nose_piercing,鼻子有穿孔
fried_egg,煎蛋|荷包蛋
squirrel,松鼠
cosmetics,化妆品
yellow_choker,黄色项圈
hand_in_another's_hair,手放在对方的头发上
grey-framed_eyewear,灰色的眼镜
licking_nipple,舔乳头
if_they_mated,假如这两个角色有孩子了
head_back,弓背高潮
burning,燃烧
bisexual_female,双性恋女性
circle_cut,单行本概念预告图
dominatrix,女王(SM中)
ok_sign,OK手势
industrial_pipe,工业管
light_trail,光线移动的轨迹
sleeveless_sweater,无袖毛衣
porkpie_hat,道士帽
pointer,指示棒
strawberry_shortcake,草莓蛋糕|镶草莓的糕点
rainbow_order,彩虹色序排列
torn_shorts,破损的短裤
rabbit_house_uniform,点兔兔之家制服
